Fact,Category
Paul David Hewson KBE OL (born 10 May 1960) known by his stage name Bono () is an Irish singer-songwriter musician venture capitalist businessman and philanthropist. He is best known as the lead vocalist and primary lyricist of rock band U2.,PERSON
Tripp Eisen (born Tod Rex Salvador; June 29 1965) is an American musician and convicted sex offender best known as the former guitarist of the industrial metal band Static-X. He is the guitarist for Face Without Fear and a former member of Dope Murderdolls Fractured Mirror (Ace Frehley tribute band) and Roughhouse  (formerly Teeze)Born in Pen Argyl Pennsylvania Eisen has made known his libertarian views to many fans throughout his years as a musician. He is a follower of Objectivism the philosophy of Ayn Rand.,PERSON
Sir John Kenneth Tavener (28 January 1944 – 12 November 2013) was an English composer known for his extensive output of religious works including The Protecting Veil Song for Athene and The Lamb.,PERSON
Madonna Louise Ciccone ( Italian: [tʃikˈkoːne]; born August 16 1958) is an American singer songwriter and actress. Referred to as the "Queen of Pop" since the 1980s Madonna is known for pushing the boundaries of songwriting in popular music and for the visuals she uses onstage and in music videos. She has frequently reinvented her music and image while remaining completely in charge of every aspect of her career.,PERSON
William Patrick "Billy" Corgan Jr. (born March 17 1967) is an American musician and songwriter who is the lead singer primary songwriter guitarist and sole permanent member of The Smashing Pumpkins in addition to being the owner and promoter of the National Wrestling Alliance. Formed by Corgan and guitarist James Iha in Chicago Illinois in 1988 the Smashing Pumpkins quickly gained steam with the addition of bassist D'arcy Wretzky and drummer Jimmy Chamberlin.,PERSON
Adrian Frederick "H" Smith (born 27 February 1957) is an English guitarist and member of Iron Maiden for whom he writes songs and performs live backing vocals on some tracks.,PERSON
Prince Rogers Nelson (June 7 1958 – April 21 2016) was an American singer songwriter musician record producer dancer actor and filmmaker. A guitar virtuoso and multi-instrumentalist known for his genre-crossing work wide-ranging singing voice and flamboyant stage appearances he is regarded as one of the  greatest musicians in the history of popular music. His innovative music integrated a wide variety of styles including funk R&B rock new wave soul psychedelia and pop.,PERSON
Heather Louise McCartney (born Heather Louise See; December 31 1962) is an American-British potter and artist who is the daughter of Linda McCartney and stepdaughter of Sir Paul McCartney.,PERSON
"...Baby One More Time" is the debut single by American singer Britney Spears from her debut studio album of the same title (1999). It was written by Max Martin and produced by Martin and Rami. After recording and sending a demo tape with an unused song from Toni Braxton Spears signed a multi-album deal with Jive.,PERSON
Robert Kelly Thomas (born February 14 1972) is an American singer songwriter and musician best known as the lead singer of rock band Matchbox Twenty. Thomas also records and performs as a solo artist with "Lonely No More" released in 2005 becoming his biggest solo chart success. Thomas received three Grammy Awards for co-writing and singing on the 1999 hit "Smooth" by Santana.,PERSON
Richard Thompson  (born 3 April 1949) is an English singer songwriter and guitarist.Thompson first gained prominence in the late 1960s as the lead guitarist and songwriter for the folk rock group Fairport Convention which he had co-founded in 1967. After departing the group in 1971 Thompson released his debut solo album Henry the Human Fly in 1972. The next year he formed a duo with his then-wife Linda Thompson which produced six albums including the critically acclaimed I Want to See the Bright Lights Tonight (1974) and Shoot Out the Lights (1982).,PERSON
Cassie René Bernall (November 6 1981 – April 20 1999) was a student killed in the Columbine High School massacre where 11 more students and a teacher were killed by Eric Harris and Dylan Klebold who then committed suicide. It was reported that Bernall had been asked whether or not she believed in God and she said "Yes" before being shot during the massacre. However Dave Cullen in his book Columbine concludes that the person asked about their belief in God was Valeen Schnurr who survived the shooting.In September 2000 Bernall's mother Misty released the book She Said Yes: The Unlikely Martyrdom of Cassie Bernall.,PERSON
Sir George Ivan "Van" Morrison OBE (born 31 August 1945) is a Northern Irish singer-songwriter instrumentalist and record producer. His professional career began as a teenager in the late 1950s playing a variety of instruments including guitar harmonica keyboards and saxophone for various Irish showbands covering the popular hits of that time. Van Morrison rose to prominence in the mid-1960s as the lead singer of the Northern Irish R&B band Them with whom he recorded the garage band classic "Gloria".,PERSON
Christina María Aguilera ( Spanish: [aɣiˈleɾa]; born December 18 1980) is an American singer songwriter actress and television personality. Her accolades include five Grammy Awards one Latin Grammy Award and a star on the Hollywood Walk of Fame. Aguilera ranked at number 58 on Rolling Stone's list of 100 Greatest Singers of All Time in 2008 and was included on Time's annual list of the 100 most influential people in the world in 2013.,PERSON
Sir Elton Hercules John  (born Reginald Kenneth Dwight; 25 March 1947) is an English singer songwriter pianist and composer. He has worked with lyricist Bernie Taupin since 1967; they have collaborated on more than 30 albums. John has sold more than 300 million records making him one of the best-selling music artists.,PERSON
Shawn Colvin (born Shawna Lee Colvin January 10 1956) is an American singer-songwriter and musician. While Colvin has been a solo recording artist for decades she is perhaps best known for her 1997 Grammy Award-winning song "Sunny Came Home".,PERSON
David Robert Jones (8 January 1947 – 10 January 2016) known professionally as David Bowie ( BOH-ee) was an English singer-songwriter and actor. He was a leading figure in the music industry and is considered one of the most influential musicians of the 20th century. He was acclaimed by critics and musicians particularly for his innovative work during the 1970s.,PERSON
Russell Tyrone Jones (November 15 1968 – November 13 2004) better known by his stage name Ol' Dirty Bastard (often abbreviated as O.D.B.) was an American rapper and producer. He was one of the founding members of the Wu-Tang Clan a rap group primarily from Staten Island New York which rose to mainstream prominence with its 1993 debut album Enter the Wu-Tang (36 Chambers).His professional success was hampered by frequent legal troubles including incarceration. He died on November 13 2004 of a drug overdose two days before his 36th birthday.Ol' Dirty Bastard was noted for his "outrageously profane free-associative rhymes delivered in a distinctive half-rapped half-sung style".,PERSON
Roberta Joan "Joni" Mitchell  (née Anderson; born November 7 1943) is a Canadian singer-songwriter. Drawing from folk pop rock and jazz Mitchell's songs often reflect social and environmental ideals as well as her feelings about romance confusion disillusionment and joy. She has received many accolades including nine Grammy Awards and induction into the Rock and Roll Hall of Fame in 1997.,PERSON
Tracy Darrell Adkins (born January 13 1962) is an American country singer and actor. Adkins made his debut in 1996 with the album Dreamin' Out Loud released on Capitol Records Nashville. Since then Adkins has released ten more studio albums and two Greatest Hits compilations.,PERSON
Geraldine Estelle Horner (née Halliwell) (born 6 August 1972) is an English singer songwriter author philanthropist and actress. Halliwell came to international prominence in the 1990s as Ginger Spice a member of the  wildly successful girl group the Spice Girls which was also the best-selling girl group of all time with over 85 million records sold of which 75 million copies were sold with the quintet line-up including Halliwell. The phrase "girl power" regularly uttered by all five members was most closely associated with Halliwell.,PERSON
Koichi Fukuda (born July 1 1975 in Osaka Japan) is a Japanese musician best known as the lead guitarist programmer and keyboardist for the industrial metal band Static-X; he has been a member of the band three times initially from 1994 to 2000 again from 2005 to 2010 and since 2018. He was also the former lead guitarist of the bands Drugstore Fanatics and Bellusira.,PERSON
Isaac Stern (July 21 1920 – September 22 2001) was an American violinist.,PERSON
Sir Roderick David Stewart  (born 10 January 1945) is a British rock singer and songwriter. Born and raised in London he is of Scottish and English ancestry. Stewart is one of the best-selling music artists of all time having sold over 120 million records worldwide.,PERSON
Mary Chapin Carpenter (born February 21 1958) is an American singer-songwriter. Carpenter spent several years singing in Washington D.C. clubs before signing in the late 1980s with Columbia Records who marketed her as a country singer. Carpenter's first album 1987's Hometown Girl did not produce any singles although 1989's State of the Heart and 1990's Shooting Straight in the Dark each produced four Top 20 hits on the Billboard country singles charts.,PERSON
Stella Nina McCartney  (born 13 September 1971) is an English fashion designer. She is a daughter of American photographer musician and animal rights activist Linda McCartney and singer-songwriter and former Beatle Sir Paul McCartney. Like her parents McCartney is a firm supporter of animal rights and is particularly known for her use of vegetarian and animal-free alternatives in her work.,PERSON
Sharon Rachel Osbourne (née Levy; born 9 October 1952) is an English television personality and businesswoman. She is married to heavy metal singer-songwriter Ozzy Osbourne and first came into public prominence after appearing on The Osbournes a reality television show that followed her family's daily life. Osbourne later became a talent show judge on television shows such as the British and original version of The X Factor from 2004 to 2007 returning in 2013 and again from 2016 to 2017.,PERSON
Michael Francis Moore (born April 23 1954) is an American documentary filmmaker and author. His works frequently address the topics of globalization and capitalism.,PERSON
Mark-Anthony Turnage CBE (born 10 June 1960) is an English composer of classical music.,PERSON
Britney Jean Spears (born December 2 1981) is an American singer songwriter dancer and actress. Born in McComb Mississippi and raised in Kentwood Louisiana she appeared in stage productions and television series before signing with Jive Records in 1997. Spears's first two studio albums ...Baby One More Time (1999) and Oops!...,PERSON
Gordon Matthew Thomas Sumner  (born 2 October 1951) known as Sting is an English musician and actor. He was the principal songwriter lead singer and bassist for the new wave rock band the Police from 1977 to 1984 and launched a solo career in 1985. Sting has included elements of rock jazz reggae classical new-age and worldbeat in his music.As a solo musician and a member of the Police Sting has received 17 Grammy Awards: he won Song of the Year for "Every Breath You Take" three Brit Awards including Best British Male Artist in 1994 and Outstanding Contribution in 2002 a Golden Globe an Emmy and four nominations for the Academy Award for Best Original Song.,PERSON
Adrian Erlandsson (born 27 October 1970 in Malmö Sweden) is a Swedish heavy metal drummer who currently plays in At the Gates (1990–1996 2007–2008 2010–)  The Haunted (1996–1999 2013–) Netherbird and Nemhain. He has also been a member of H.E.A.L. (1994–1996) Hyperhug (1994–1996) Decameron (1997) Cradle of Filth (1999–2006) and Needleye (2006–?) Brujeria (2006–2013) and Yorkshire doom metal band Paradise Lost (2009–2016).,PERSON
Tom DeLonge () (born December 13 1975) is an American musician singer songwriter author record producer actor and filmmaker. Possessing a distinctive nasal singing voice he is the lead vocalist and guitarist of the rock band Angels & Airwaves which he formed in 2005 and was the co-lead vocalist guitarist and co-founder of the rock band Blink-182 from its formation in 1992 until his dismissal from the group in 2015.,PERSON
Per Møller Jensen (born 19 November 1973) is a Danish drummer best known as the former drummer for the Swedish thrash metal band The Haunted. He has earlier played drums in Invocator Konkhra and Nightrage. He also played drums for Artillery’s Album B.A.C.K.,PERSON
Steven Patrick Morrissey (; born 22 May 1959) known mononymously as Morrissey is an English singer songwriter and author. He came to prominence as the frontman of the rock band the Smiths which was active from 1982 to 1987. Since then he has pursued a commercially successful solo career.,PERSON
Guy Stuart Ritchie (born 10 September 1968) is an English film director producer writer and businessman. He is known for his British gangster films and Sherlock Holmes franchise. ,PERSON
Sinéad Marie Bernadette O'Connor ( shin-AYD oh-KON-ər; born 8 December 1966) is an Irish singer-songwriter who rose to fame in the late 1980s with her debut album The Lion and the Cobra. O'Connor achieved worldwide success in 1990 with a new arrangement of Prince's song "Nothing Compares 2 U".,PERSON
Cynthia Ann Stephanie Lauper (born June 22 1953) is an American singer songwriter actress and activist. Her career has spanned over 40 years. Her album She's So Unusual (1983) was the first debut album by a female artist to achieve four top-five hits on the Billboard Hot 100—"Girls Just Want to Have Fun" "Time After Time" "She Bop" and "All Through the Night"—and earned Lauper the Best New Artist award at the 27th Grammy Awards in 1985.,PERSON
Timothy Robert Commerford (born February 26 1968) is an American musician best known as the bassist and backing vocalist for the American rock band Rage Against the Machine (1991–2000; 2007–2011; 2019-present) supergroups Audioslave (2001–2007; 2017) and Prophets of Rage (2016–2019). Since 2013 and 2015 he has also been the lead singer and bassist of the bands Future User and WAKRAT.,PERSON
James Vernon Taylor (born March 12 1948) is an American singer-songwriter and guitarist. A five-time Grammy Award winner he was inducted into the Rock and Roll Hall of Fame in 2000. He is one of the best-selling music artists of all time having sold more than 100 million records worldwide.Taylor achieved his breakthrough in 1970 with the No. 3 single "Fire and Rain" and had his first No. 1 hit in 1971 with his recording of "You've Got a Friend" written by Carole King in the same year.,PERSON
Bob Dylan (born Robert Allen Zimmerman; May 24 1941) is an American singer-songwriter author and visual artist who has been a major figure in popular culture for more than fifty years. Much of his most celebrated work dates from the 1960s when songs such as "Blowin' in the Wind" (1963) and "The Times They Are a-Changin'" (1964) became anthems for the civil rights movement and anti-war movement. His lyrics during this period incorporated a wide range of political social philosophical and literary influences defied pop-music conventions and appealed to the burgeoning counterculture.,PERSON
Joseph Henry "T Bone" Burnett III (born January 14 1948) is an American record producer musician and songwriter. Burnett rose to fame as a guitarist in Bob Dylan's band during the 1970s. He has received multiple Grammy awards for his work in film music including for O Brother Where Art Thou?,PERSON
Rachel Hunter (born 8 September 1969) is a New Zealand model actress and the host of Imagination Television's Rachel Hunter's Tour of Beauty. She has appeared on several magazine covers including Vogue Elle Rolling Stone Sports Illustrated,PERSON
Mark Sandman (September 24 1952 – July 3 1999) was an American singer songwriter musical instrument inventor multi-instrumentalist and comic writer. Sandman possessed a distinctive deep Bass-Baritone voice and a mysterious demeanour. He was an indie rock icon and longtime fixture in the Boston/Cambridge music scene best known as the lead singer and slide bass player of the band Morphine.,PERSON
Marshall Bruce Mathers III (born October 17 1972) known professionally as Eminem (; often stylized as EMINƎM) is an American rapper songwriter record producer record executive and actor. He is one of the most successful artists of the 21st century. In addition to his solo career Eminem was a member of the hip hop group D12.,PERSON
Gregg Alexander (born Gregory Aiuto; May 4 1970) is an American singer-songwriter and producer best known as the frontman of the New Radicals who produced and co-wrote the international hit "You Get What You Give" in late 1998. In the late 1980s and early 1990s he recorded two solo albums Michigan Rain and Intoxifornication. He dissolved the New Radicals in 1999 to focus on production and songwriting work winning a Grammy Award for the song "The Game of Love" in 2003.,PERSON
Forrest Richard Betts (born December 12 1943) known as Dickey Betts is an American guitarist singer songwriter and composer best known as a founding member of The Allman Brothers Band.,PERSON
Kathryn Dawn Lang  (born November 2 1961) known by her stylized stage name k.d. lang is a Canadian pop and country singer-songwriter and occasional actress.,PERSON
Warren Haynes (born April 6 1960) is an American musician singer and songwriter.  Haynes is best known for his work as longtime guitarist with the Allman Brothers Band and as founding member of the jam band Gov't Mule. Early in his career he was a guitarist for David Allan Coe and The Dickey Betts Band.,PERSON
Gwyneth Kate Paltrow (; born September 27 1972) is an American actress singer author and businesswoman. She has received numerous accolades for her work including an Academy Award a Golden Globe Award and a Primetime Emmy Award. Her films have grossed $3.3 billion at the U.S. box office and $8.8 billion worldwide.Paltrow gained very early notice for her work in films such as Seven (1995) Emma (1996) Sliding Doors (1998) and A Perfect Murder (1998).,PERSON
Beck Hansen (born Bek David Campbell; July 8 1970) is an American singer songwriter musician and record producer. He rose to fame in the early 1990s with his experimental and lo-fi style and became known for creating musical collages of wide-ranging genres. He has musically encompassed folk funk soul hip hop electronic alternative rock country and psychedelia.,PERSON
Whitney Elizabeth Houston (August 9 1963 – February 11 2012) was an American singer and actress. She was cited as the most awarded female artist of all time by Guinness World Records and remains one of the best-selling music artists of all time with 200 million records sold worldwide. Houston released seven studio albums and two soundtrack albums all of which have been certified diamond multi-platinum platinum or gold by the Recording Industry Association of America (RIAA).,PERSON
Michael Whitaker Smith (born October 7 1957) is an American musician who has charted in both contemporary Christian and mainstream charts. His biggest success in mainstream music was in 1991 when "Place in This World" hit No. 6 on the Billboard Hot 100.,PERSON
Brian Hugh Warner (born January 5 1969) known professionally as Marilyn Manson is an American singer songwriter record producer actor director visual artist and former music journalist. He is known for his controversial stage personality and image as the lead singer of the band of the same name which he co-founded with guitarist Daisy Berkowitz in 1989 and of which he remains the only constant member. Like the other founding members of the band his stage name was formed by combining and juxtaposing the names of two opposing American cultural icons: actress Marilyn Monroe and criminal Charles Manson.,PERSON
Rupert James Hector Everett (; born 29 May 1959) is an English actor writer and singer. He first came to public attention in 1981 when he was cast in Julian Mitchell's play and subsequent film Another Country (1984) as a gay pupil at an English public school in the 1930s; the role earned him his first BAFTA Award nomination. He went on to receive a second BAFTA Award nomination and his first Golden Globe Award nomination for his role in My Best Friend's Wedding (1997) followed by a second Golden Globe nomination for An Ideal Husband (1999).,PERSON
John Francis Bongiovi Jr. (born March 2 1962) known professionally as Jon Bon Jovi is an American singer-songwriter record producer philanthropist and actor. Bon Jovi is best known as the founder and frontman of the Grammy Award-winning rock band Bon Jovi which was formed in 1983.,PERSON
Joel Coen (born November 29 1954) and Ethan Coen (born September 21 1957) collectively referred to as the Coen brothers () are American filmmakers. Their films span many genres and styles which they frequently subvert or parody. Their most acclaimed works include Miller's Crossing (1990) Barton Fink (1991) Fargo (1996) The Big Lebowski (1998) O Brother Where Art Thou?,PERSON
Travis Landon Barker (born November 14 1975) is an American musician songwriter and record producer best known as the current drummer for the rock band Blink-182. Barker has also performed as a frequent collaborator with hip hop artists is a member of the rap rock group Transplants founded the rock bands +44 and Box Car Racer and most recently joined Antemasque and Goldfinger. He was a frequent collaborator with the now-late DJ AM and together they formed TRV$DJAM. Due to his fame Rolling Stone referred to him as "punk's first superstar drummer" as well as one of the 100 Greatest Drummers of All Time.Born in Fontana California Barker began drumming at an early age.,PERSON
Diana Ross (born March 26 1944) is an American singer actress and record producer. Born and raised in Detroit Michigan Ross rose to fame as the lead singer of the vocal group The Supremes who during the 1960s became Motown's most successful act and are the best-charting female group in US history as well as one of the world's best-selling girl groups of all time. The group released a record-setting twelve number one hit singles on the US Billboard Hot 100 including "Where Did Our Love Go" "Baby Love" "Come See About Me" "Stop!,PERSON
"Tearin' Up My Heart" is a song by American boy band NSYNC released as the second single from their self-titled debut album in Germany on February 10 1997 and June 30 1998 in the US and UK. It reached the top ten in several countries including Germany and the UK and is known for being one of their signature songs.,SONG
"Smooth" is a collaboration between Latin rock band Santana and Matchbox Twenty vocalist Rob Thomas. The song was written by Itaal Shur and Thomas produced by Matt Serletic and sung by Thomas. In the United States it topped the Billboard Hot 100 for 12 weeks; it was the final number-one hit of the 1990s and the first number-one hit of the 2000s.,SONG
"Sleep Now in the Fire" is the fifth track from the 1999 album The Battle of Los Angeles by the band Rage Against the Machine. It was released as a single in 1999. The song contains lyrics about greed such as the conquest of Native Americans Christopher Columbus' voyage by Niña the Pinta and Santa Maria and U.S. slavery in the 19th century as well as criticism of actions taken by the U.S. government in wartime including the bombing of Hiroshima and the use of Agent Orange in the Vietnam War.,SONG
"1999" is a song by American musician Prince the title track from his 1982 album of the same name. In 1983 the song peaked at number 2 in Australia. It originally peaked at number 44 on the Billboard Hot 100 in December 1982 but with its re-release it peaked at number 12 in the US in July 1983 and at number 25 in the UK in January 1983 (reaching number 2 in the UK when re-released in January 1985 as part of a double A-side with "Little Red Corvette").,SONG
"Heartbreaker" is a song by American singer and songwriter Mariah Carey. It was released on September 21 1999 by Columbia Records as the lead single from Carey's seventh studio album Rainbow (1999). The song was written by Carey and Shawn "Jay-Z" Carter and produced by Carey and DJ Clue.,SONG
"(God Must Have Spent) A Little More Time on You" is a song by American boy band NSYNC. It was released as the third single from their self-titled debut album in the U.S. While some of the previous singles were released in Europe this one was not and subsequently only charted in Australia and the U.S. reaching number 46 and number 8 respectively. The single included a live version of Christopher Cross song "Sailing" as well as a limited edition postcard. Some versions of the single included the track's video.,SONG
"Bye Bye Bye" is a song by the American boy band NSYNC. It was released on January 10th 2000 as the lead single from their third studio album No Strings Attached. The song was written and produced by Kristian Lundin and Jake Schulze with additional writing by Andreas Carlsson. Its lyrics describe the end of a romantic relationship; it was reported to also reference the group's separation from their manager Lou Pearlman and their record label RCA Records.,SONG
"Fly on the Wings of Love" is a song by Danish pop-rock duo Olsen Brothers which was the winner of Eurovision Song Contest 2000 performed for Denmark singing in English.,SONG
"Genie in a Bottle" is a song recorded by American singer Christina Aguilera from her self-titled debut album released in 1999. It was written by Pam Sheyne Steve Kipner and David Frank and produced by Kipner and Frank. The song was released on June 22 1999 by RCA Records as the album's lead single.,SONG
Copyright is the exclusive right given to the creator of a creative work to reproduce the work usually for a limited time. The creative work may be in a literary artistic educational or musical form. Copyright is intended to protect the original expression of an idea in the form of a creative work but not the idea itself.,UNCATEGORIZED
Napster is a set of three music-focused online services. It was founded as a pioneering peer-to-peer (P2P) file sharing Internet software that emphasized sharing digital audio files typically audio songs encoded in MP3 format. As the software became popular the company ran into legal difficulties over copyright infringement.,UNCATEGORIZED
Atheism is in the broadest sense an absence of belief in the existence of deities. Less broadly atheism is a rejection of the belief that any deities exist.  In an even narrower sense atheism is specifically the position that there are no deities.,UNCATEGORIZED
Risk is the potential for uncontrolled loss of something of value. Values (such as physical health social status emotional well-being or financial wealth) can be gained or lost when taking risk resulting from a given action or inaction foreseen or unforeseen (planned or not planned). Risk can also be defined as the intentional interaction with uncertainty.,UNCATEGORIZED
NetAid  was an anti-poverty initiative. It started as a joint venture between the United Nations Development Programme and Cisco Systems. It became an independent nonprofit organization in 2001.,UNCATEGORIZED
The United States No Electronic Theft Act (NET Act) a federal law passed in 1997 provides for criminal prosecution of individuals who engage in copyright infringement under certain circumstances even when there is no monetary profit or commercial benefit from the infringement. Maximum penalties can be five years in prison with fines.,UNCATEGORIZED
Streptococcal pharyngitis also known as strep throat is an infection of the back of the throat including the tonsils caused by group A streptococcus (GAS). Common symptoms include fever sore throat red tonsils and enlarged lymph nodes in the neck. A headache and nausea or vomiting may also occur.,UNCATEGORIZED
Aprilia is an Italian motorcycle manufacturer one of the brands owned by Piaggio. Having started as a manufacturer of bicycles it moved on to manufacture scooters and small-capacity motorcycles. In more recent times Aprilia has produced large sportbikes such as the 1000 cc V-twin RSV Mille and the V4 RSV4.,UNCATEGORIZED
Siegen (German pronunciation: [ˈziːɡn̩] (listen)) is a city in Germany in the south Westphalian part of North Rhine-Westphalia.,LOCATION
The University of Southern California (USC SC or Southern Cal) is a private research university in Los Angeles California. Founded in 1880 it is the oldest private research university in California. For the 2018–19 academic year there were 20000 students enrolled in four-year undergraduate programs.,LOCATION
Palestrina (ancient Praeneste; Ancient Greek: Πραίνεστος Prainestos) is a modern Italian city and comune (municipality) with a population of about 22000 in Lazio about 35 kilometres (22 miles) east of Rome. It is connected to the latter by the Via Prenestina. It is built upon the ruins of an ancient city of the same name.,LOCATION
Canada is a country in the northern part of North America. Its ten provinces and three territories extend from the Atlantic to the Pacific and northward into the Arctic Ocean covering 9.98 million square kilometres (3.85 million square miles) making it the world's second-largest country by total area. Its southern border with the United States stretching 8891 kilometres (5525 mi) is the world's longest bi-national land border.,LOCATION
New Zealand (Māori: Aotearoa [aɔˈtɛaɾɔa]) is a sovereign island country in the southwestern Pacific Ocean. The country has two main landmasses—the North Island (Te Ika-a-Māui) and the South Island (Te Waipounamu)—and around 600 smaller islands. It has a total land area of 268000 square kilometres (103500 sq mi).,LOCATION
English National Opera (ENO) is an opera company based in London resident at the London Coliseum in St Martin's Lane. It is one of the two principal opera companies in London along with The Royal Opera Covent Garden. ENO's productions are sung in English.,LOCATION
Georgia () is a state located in the southeastern region of the United States. Georgia is the 24th largest in area and 8th-most populous of the 50 United States. Georgia is bordered to the north by Tennessee and North Carolina to the northeast by South Carolina to the southeast by the Atlantic Ocean to the south by Florida and to the west by Alabama.,LOCATION
The Cynthia Woods Mitchell Pavilion sometimes called The Woodlands Pavilion or simply The Pavilion is a concert amphitheatre located in The Woodlands Texas an outer suburb of Houston Texas. It caters to both the performing arts and contemporary artists and is also available for rental. It is owned and operated by The Center for the Performing Arts at The Woodlands and is a non-profit organization.,LOCATION
Minnesota ( (listen)) is a state in the Upper Midwest Great Lakes and northern regions of the United States. Minnesota was admitted as the 32nd U.S. state on May 11 1858 created from the eastern half of the Minnesota Territory. The state has many lakes and is known as the "Land of 10000 Lakes".,LOCATION
Edinburgh Castle is a historic fortress which dominates the skyline of Edinburgh the capital city of Scotland from its position on the Castle Rock. Archaeologists have established human occupation of the rock since at least the Iron Age (2nd century AD) although the nature of the early settlement is unclear. There has been a royal castle on the rock since at least the reign of David I in the 12th century and the site continued at times to be a royal residence until 1633.,LOCATION
New Jersey is a state in the Mid-Atlantic region of the Northeastern United States. It is bordered on the north and east by the state of New York; on the east southeast and south by the Atlantic Ocean; on the west by the Delaware River and Pennsylvania; and on the southwest by Delaware Bay and the State of Delaware. New Jersey is the fourth-smallest state by area but the 11th-most populous with 8882190 residents as of 2019 and an area of 8722.58 square miles making it the most densely populated of the 50 U.S. states with its biggest city being Newark.,LOCATION
Chino ( CHEE-noh) is a city in the western end of San Bernardino County California United States with Los Angeles County to its west and Orange County to its south in the Southern California region. Chino is adjacent to Chino Hills California. Chino's surroundings have long been a center of agriculture and dairy farming providing milk products in Southern California and much of the southwestern United States.,LOCATION
The original Wembley Stadium (; formerly known as the Empire Stadium) was a football stadium in Wembley Park London which stood on the same site now occupied by its successor.Wembley hosted the FA Cup final annually the first in 1923 the League Cup final annually five European Cup finals the 1966 World Cup Final and the final of Euro 96. Brazilian footballer Pelé once said of the stadium: "Wembley is the cathedral of football. It is the capital of football and it is the heart of football" in recognition of its status as the world's best-known football stadium.,LOCATION
Italy (Italian: Italia [iˈtaːlja] (listen)) officially the Italian Republic (Italian: Repubblica Italiana [reˈpubblika itaˈljaːna])  is a European country consisting of a peninsula delimited by the Alps and surrounded by several islands. Italy is located in south-central Europe and it is also considered a part of western Europe. A unitary parliamentary republic  with its capital in Rome the country covers a total area of 301340 km2 (116350 sq mi) and shares land borders with France Switzerland Austria Slovenia and the enclaved microstates of Vatican City and San Marino.,LOCATION
The Scottish Parliament (Scottish Gaelic: Pàrlamaid na h-Alba; Scots: Scots Pairlament) is the unicameral legislature of Scotland. Located in the Holyrood area of the capital city Edinburgh it is frequently referred to by the metonym Holyrood.The Parliament is a democratically elected body comprising 129 members known as Members of the Scottish Parliament (MSPs) elected for four-year terms under the additional member system: 73 MSPs represent individual geographical constituencies elected by the plurality (‘first-past-the-post’) system while a further 56 are returned from eight additional member regions each electing seven MSPs. The most recent general election to the Parliament was held on 5 May 2016 with the Scottish National Party winning a plurality.,LOCATION
September 1 is the 244th day of the year (245th in leap years) in the Gregorian calendar.  121 days remain until the end of the year.,LOCATION
The Cynthia Woods Mitchell Pavilion sometimes called The Woodlands Pavilion or simply The Pavilion is a concert amphitheatre located in The Woodlands Texas an outer suburb of Houston Texas. It caters to both the performing arts and contemporary artists and is also available for rental. It is owned and operated by The Center for the Performing Arts at The Woodlands and is a non-profit organization.,LOCATION
London is the capital and largest city of England and the United Kingdom. Standing on the River Thames in the south-east of England at the head of its 50-mile (80 km) estuary leading to the North Sea London has been a major settlement for two millennia. Londinium was founded by the Romans.,LOCATION
Stockholm (Swedish pronunciation: [ˈstɔ̂kː(h)ɔlm] (listen)) is the capital and most populous urban area of Sweden. 972647 people live in the municipality approximately 1.6 million in the urban area and 2.4 million in the metropolitan area. The city stretches across fourteen islands where Lake Mälaren flows into the Baltic Sea.,LOCATION
Yale University is a private Ivy League research university in New Haven Connecticut. Founded in 1701 it is the third-oldest institution of higher education in the United States and one of the nine Colonial Colleges chartered before the American Revolution. Its history academic achievements wealth and selectivity have made Yale one of the most prestigious universities in the world.Chartered by Connecticut Colony the "Collegiate School" was established in 1701 by clergy to educate Congregational ministers.,LOCATION
The Irish Music Hall of Fame was a multimedia exhibition in Dublin Ireland which operated between 1999 and 2001.  It recognised what it described as the best of Irish musical talent of all types over the decades.,LOCATION
House of Blues is an American chain of live music concert halls and restaurants. It was founded by Isaac Tigrett the co-founder of Hard Rock Cafe and Dan Aykroyd co-star of the 1980 film The Blues Brothers. The first location opened at Harvard Square in Cambridge Massachusetts in 1992.,LOCATION
Roskilde (UK:  ROSK-il-ə also US:  RUSK-ee-lə Danish: [ˈʁɒskilə]) located 30 km (19 mi) west of Copenhagen on the Danish island of Zealand is the main city in the eponymous municipality. With a population of 51121 (as of 1 January 2019) the city is a business and educational centre for the region and the 10th largest city in Denmark. It is governed by the administrative council of Roskilde Municipality.,LOCATION
Dornoch (; Scottish Gaelic: Dòrnach [ˈt̪ɔːrˠn̪ˠəx]; Scots: Dornach) is a town seaside resort and former royal burgh in the county of Sutherland in the Highlands of Scotland. It lies on the north shore of the Dornoch Firth near to where it opens into the Moray Firth to the east.,LOCATION
Sutherland is a historic county registration county and lieutenancy area in the Highlands of Scotland. Its county town is Dornoch. Sutherland borders Caithness and Moray Firth to the east Ross-shire and Cromartyshire (later combined into Ross and Cromarty) to the south and the Atlantic to the north and west.,LOCATION
The Cavern Club is a nightclub at 10 Mathew Street Liverpool England.,LOCATION
New York City (NYC) often called the City of New York or simply New York (NY) is the most populous city in the United States. With an estimated 2018 population of 8398748 distributed over about 302.6 square miles (784 km2) New York is also the most densely populated major city in the United States. Located at the southern tip of the U.S. state of New York the city is the center of the New York metropolitan area the largest metropolitan area in the world by urban landmass.,LOCATION
